DRCOV VERSION: 3
DRCOV FLAVOR: drcov-64
Module Table: version 5, count 38
Columns: id, containing_id, start, end, entry, offset, preferred_base, path
  0,   0, 0x00007f5ffcb4e000, 0x00007f5ffcb4f000, 0x00007f5ffcb4f1d0, 0000000000000000, 0x0000000072000000,  /dynamorio/build/clients/lib64/release/libdrcov.so
module[  9]: 0x0000000000001f28,  37
module[  9]: 0x0000000000001f74,   6
module[  9]: 0x0000000000001f7a,  17
module[  9]: 0x0000000000001f4d,  16
module[  9]: 0x0000000000002dd6,  12
module[  9]: 0x0000000000002e11,  16
module[  9]: 0x0000000000002e21,  16
module[  9]: 0x0000000000002e31,  14
module[  9]: 0x0000000000001f5d,  23
module[  9]: 0x0000000000001f8b,   8
module[  9]: 0x0000000000001f93,   9
module[  9]: 0x0000000000001fa0,   9
module[  9]: 0x0000000000001fa9,  13
module[  9]: 0x0000000000001fb6,  13
module[  9]: 0x0000000000001fc3,  13
module[  9]: 0x0000000000001fd0,  16
module[  9]: 0x0000000000001fe0,  16
module[  9]: 0x0000000000001ff0,  16
module[  9]: 0x0000000000002000,  16
module[  9]: 0x0000000000002010,  11
module[  9]: 0x000000000000201b,   7
module[  9]: 0x0000000000002022,  18
module[  9]: 0x0000000000002034,  12
module[  9]: 0x0000000000002040,  16
module[  9]: 0x0000000000002057,   5
module[  9]: 0x0000000000002063,   9
module[  9]: 0x00000000000031f2,  12
module[  9]: 0x000000000000206c,  12
module[  9]: 0x0000000000002078,  17
module[  9]: 0x0000000000002091,  13
module[  9]: 0x000000000000209e,   9
module[  9]: 0x00000000000031df,  19
module[  9]: 0x00000000000020a7,  10
module[  9]: 0x00000000000020bc,   8
module[  9]: 0x00000000000020c4,  13
module[  9]: 0x00000000000020d1,  14
module[  9]: 0x00000000000020df,  28
module[  9]: 0x000000000000c238,  18
module[  9]: 0x000000000000c24a,  42
module[  9]: 0x000000000000c2da,   5
module[  9]: 0x000000000000c391,  23
module[  9]: 0x000000000000c500,  18
module[  9]: 0x000000000000c512,   7
module[  9]: 0x000000000000c590,  12
module[  9]: 0x000000000000c3ce,  31
module[  9]: 0x00000000000020fb,  12
module[  9]: 0x0000000000002107,  40
module[  9]: 0x0000000000002157,   7
module[  9]: 0x0000000000002138,   9
module[  9]: 0x0000000000002890,  11
module[  9]: 0x000000000000289b,  17
module[  9]: 0x00000000000028ac,  17
module[  9]: 0x00000000000028bd,  13
module[  9]: 0x00000000000028ca,  12
module[  9]: 0x000000000000214a,  13
module[  9]: 0x000000000000215e,  37
module[  9]: 0x0000000000002141,   9
module[  9]: 0x0000000000002183,  46
module[  9]: 0x00000000000021b1,  12
module[  9]: 0x00000000000021bd,  31
module[  9]: 0x0000000000002203,   6
module[  9]: 0x0000000000002209,  17
module[  9]: 0x00000000000021dc,  16
module[  9]: 0x00000000000028d6,  18
module[  9]: 0x0000000000002d3b,  16
module[  9]: 0x0000000000002d4b,  16
module[  9]: 0x0000000000002d5b,  14
module[  9]: 0x00000000000021ec,  23
module[  9]: 0x000000000000221a,   9
module[  9]: 0x0000000000002223,  13
module[  9]: 0x0000000000002230,  81
module[  9]: 0x00000000000022b2,   9
module[  9]: 0x00000000000022bb,  55
module[  9]: 0x00000000000022f2,  52
module[  9]: 0x000000000000234e,  12
module[  9]: 0x0000000000002382,  12
module[  9]: 0x000000000000238e,  49
module[  9]: 0x00000000000023bf,  43
module[  9]: 0x00000000000023f5,   7
module[  9]: 0x000000000000240e,  12
module[  9]: 0x0000000000002446,  12
module[  9]: 0x000000000000247d,  10
module[  9]: 0x0000000000002492,   8
module[  9]: 0x000000000000249a,  52
module[  9]: 0x00000000000024ce,  20
module[  9]: 0x00000000000024e2,  12
module[  9]: 0x00000000000024ee,  12
module[  9]: 0x00000000000024fa,  11
module[  9]: 0x000000000002238d,   6
module[  9]: 0x0000000000022393,  17
module[  9]: 0x0000000000002505,  21
module[  9]: 0x000000000000c196,  22
module[  9]: 0x000000000000c1ac,  64
module[  9]: 0x000000000000251a,  11
module[  9]: 0x0000000000002525,  10
module[  9]: 0x000000000000252f,  48
module[  9]: 0x0000000000002922, 135
module[  9]: 0x000000000000b0d0,  58
module[  9]: 0x000000000000b10a,  38
module[  9]: 0x000000000000b118,  24
module[  9]: 0x000000000000b130,  37
module[  9]: 0x000000000000b155,  14
module[  9]: 0x000000000000b163,  27
module[  9]: 0x000000000000b17e,   9
module[  9]: 0x000000000000b187,  29
module[  9]: 0x000000000000b1bb,  46
module[  9]: 0x000000000000a4c0, 105
module[  9]: 0x000000000000a5bf,  14
module[  9]: 0x000000000000a5cd,   5
module[  9]: 0x000000000000a5db,   9
module[  9]: 0x000000000000a5e4,  13
module[  9]: 0x000000000000a530,  10
module[  9]: 0x000000000000a53a,  64
module[  9]: 0x000000000000a57a,  56
module[  9]: 0x000000000000a7b0,  26
module[  9]: 0x000000000000a7ca,  81
module[  9]: 0x000000000000a82d,  14
module[  9]: 0x000000000000a820,  13
module[  9]: 0x000000000000a83b,  79
module[  9]: 0x000000000000a330,  48
module[  9]: 0x000000000000a360,  33
module[  9]: 0x000000000000a381,   5
module[  9]: 0x000000000000a386,  15
module[  9]: 0x000000000001e650,  26
module[  9]: 0x000000000001e66a,   2
module[  9]: 0x000000000001e673,  26
module[  9]: 0x000000000001f630,  48
module[  9]: 0x000000000001f660,  58
module[  9]: 0x000000000001f69a,  56
module[  9]: 0x000000000001f6d2,  14
module[  9]: 0x000000000001f6e0,  56
module[  9]: 0x000000000001f9f0,  18
module[  9]: 0x000000000000a395,   8
module[  9]: 0x000000000000a39d,  13
module[  9]: 0x000000000000a3aa,   9
module[  9]: 0x000000000000a480,  13
module[  9]: 0x000000000000a3e9,  12
module[  9]: 0x000000000000a88a,  13
module[  9]: 0x000000000000afd4,  39
module[  9]: 0x000000000000a748,  15
module[  9]: 0x000000000000a757,  20
module[  9]: 0x000000000000a76b,  16
module[  9]: 0x000000000000a77b,   8
module[  9]: 0x000000000000a783,   8
module[  9]: 0x000000000000a78b,  32
module[  9]: 0x000000000000a8a2,  18
module[  9]: 0x000000000000b1e9,   8
module[  9]: 0x000000000000b1f1,  16
module[  9]: 0x000000000000b201,   5
module[  9]: 0x000000000000b206,  11
module[  9]: 0x000000000000b211,  26
module[  9]: 0x000000000000b22b,  15
module[  9]: 0x000000000000b23a,  17
module[  9]: 0x000000000000b24b,  30
module[  9]: 0x00000000000029a9,  18
module[  9]: 0x00000000000029bb,  11
module[  9]: 0x00000000000029c6,   9
module[  9]: 0x00000000000029cf,  30
